Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
News,Yarnell Hill Fire,05 July 2013,http://news.yahoo.com/burning-climate-change-impact-western-wildfires-201952357.html   http://en.wikipedia.org/wiki/Yarnell_Hill_Fire   http://www.cbc.ca/news/technology/how-climate-change-affected-the-arizona-wildfire-1.1374040,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Pat Sajak rants about global warming on Twitter,21 May 2014,http://edition.cnn.com/2014/05/21/showbiz/celebrity-news-gossip/pat-sajak-global-warming-tweet/   https://twitter.com/patsajak/status/468581395237842945,related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,EPA affected by government shutdown,01 October 2013,http://www.nytimes.com/interactive/2013/09/27/us/who-goes-to-work-during-government-shutdown.html?hp&_r=2&   http://www.washingtonexaminer.com/article/2536655?awesm=freedo.mw_g0F&source=twitter,related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Obama vows efforts to protect the ocean,17 June 2014,http://uk.reuters.com/article/2014/06/17/us-usa-obama-oceans-idUKKBN0ES19I20140617   http://www.washingtonpost.com/blogs/post-politics/wp/2014/06/17/obama-leonardo-dicaprio-vow-efforts-to-protect-the-ocean/,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],individuals,generic (campaigns/statements/other)  [individuals],this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Campaign against noise pollution,22 November 2013,https://twitter.com/iRajneekant/status/402138895241838592,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Statement about Super Model of the year,29 September 2014,https://twitter.com/HeymanHustle/status/516493436485369856/photo/1,not related to climate change,no (not related to climate change),for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,EPA stalls Alaska copper mine,28 February 2014,http://www.washingtonpost.com/blogs/post-politics/wp/2014/02/28/epa-considers-blocking-massive-gold-mine-proposed-for-alaska/   http://www.foxnews.com/politics/2014/02/28/epa-moves-against-major-alaska-gold-mine-could-sideline-project-over-salmon/,not related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Philippines first in Asia to destroy ivory tusks,21 June 2013,http://blogs.wsj.com/indonesiarealtime/2013/06/21/philippines-destroys-five-tons-of-ivory-stockpile/   http://www.globalpost.com/dispatch/news/afp/130621/philippines-first-asia-destroy-ivory-tusks-0,not related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,#UpChat by Upworthy on climate change,15 September 2014,https://twitter.com/Upworthy/status/511295895997272064/photo/1,related to climate change,yes (related to climate change),media,generic (campaigns/statements/other)  [media],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Study: Climate Change link to violence,02 August 2013,http://www.huffingtonpost.com/2013/08/01/climate-change-and-violence_n_3692023.html?utm_hp_ref=tw   http://www.bbc.com/news/science-environment-23538771,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
