Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
Twitter,Study: Cooling Pacific has dampened global warming,29 August 2013,http://www.dailymail.co.uk/sciencetech/article-2405308/Cooling-Pacific-slowed-pace-global-warming-changes-ocean-currents-absorb-excess-heat.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490&utm_source=twitterfeed&utm_medium=twitter   https://www.sciencenews.org/article/global-warming-hiatus-tied-cooler-temps-pacific,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Arctic council: Kiruna Ministerial Meeting 2013,15 May 2013,http://www.csmonitor.com/Environment/Energy-Voices/2013/0515/Arctic-Council-China-looks-north-for-oil-gas-and-fish   http://www.cbc.ca/news/world/polar-meltdown-top-challenge-for-arctic-council-1.1312992?cmp=rss   http://en.wikipedia.org/wiki/Arctic_Council#Meetings,weakly related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,NOAA announces 50% chance for El Nino to develop,06 March 2014,http://www.washingtonpost.com/blogs/capital-weather-gang/wp/2014/03/06/el-nino-watch-posted-may-portend-fewer-atlantic-hurricanes-and-beneficial-california-rains/   http://www.theweathernetwork.com/news/articles/el-nino-could-shake-up-weather-patterns-later-this-year/22768/,weakly related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Rich vs. Poor divide deepens/Massive walk out at UN Climate Change Conference,23 November 2013,http://news.yahoo.com/modest-deal-breaks-deadlock-un-climate-talks-183434640--finance.html   http://www.reuters.com/article/2013/11/23/climate-talks-idUSL5N0J80D620131123,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Deepwater Horizon oil spill,25 September 2013,http://www.huffingtonpost.com/2013/09/25/gulf-oil-spill-recovery-study_n_3984577.html   http://www.cbsnews.com/news/researcher-extent-of-bp-oil-spills-damage-to-sea-floor-life-astounding/   http://en.wikipedia.org/wiki/Reactions_to_the_Deepwater_Horizon_oil_spill,not related to climate change,borderline (weakly related to climate change),disaster,human-induced hazards  [disaster],govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,"California bans plastic bags, legislation signed",30 September 2014,http://www.motherjones.com/environment/2014/09/california-bans-plastic-bags   http://time.com/3449887/california-plastic-bag-ban/,weakly related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"Apple targets rising water use, production partners' emissions",10 July 2014,http://tech-tongue.com/news-2/apple-targets-rising-water-use-production-partners-emissions/?+in+Tech   http://www.reuters.com/article/2014/07/10/us-apple-environment-idUSKBN0FF03A20140710?feedType=RSS&feedName=environmentNews,not related to climate change,no (not related to climate change),for-profit (excl. media),publication/studies/research  [for-profit (excl. media)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Obama calling out climate change deniers in US Congress,08 May 2013,https://twitter.com/BarackObama/status/332203037626081281,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Viral tweet: Obama teams with companies to fight climate change,23 September 2014,https://twitter.com/BarackObama/status/514170542228652032   http://www.whitehouse.gov/blog/2014/09/16/us-companies-leading-reduce-emissions-hfc-climate-pollutants/?source=socnet_tw_CC_20140922_bo_us-companies-leading-reduce-emissions-hfc-climate-pollutants_share_1&utm_content=20140922_bo_us-companies-leading-reduce-emissions-hfc-climate-pollutants_share_1&utm_source=tw&awesm=ofa.bo_e0yI&utm_medium=socnet&utm_campaign=CC,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Columbia Protests,29 August 2013,http://www.reuters.com/article/2013/08/29/colombia-protests-idUSL2N0GS1TJ20130829   http://www.globalpost.com/dispatch/news/thomson-reuters/130829/santos-calls-calm-colombian-farm-protests-reach-bogota,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Crude Oil Train Spill in James River,01 May 2014,http://www.reuters.com/article/2014/05/01/us-railways-accident-virginia-idUSBREA3T0YW20140501   http://www.globalpost.com/dispatch/news/the-canadian-press/140501/fiery-train-wreck-virginia-brings-demands-tighter-regulation,not related to climate change,no (not related to climate change),disaster,human-induced hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Caribbean Water Supplies Threatened By Climate Change,06 September 2013,http://www.businessweek.com/ap/2013-09-06/climate-change-threatens-caribbeans-water-supply   http://www.huffingtonpost.com/2013/09/06/caribbean-water-supplies_n_3877475.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,"""A Stronger, More Resilient New York"" Plan",11 June 2013,http://www1.nyc.gov/office-of-the-mayor/news/201-13/mayor-bloomberg-outlines-ambitious-proposal-protect-city-against-effects-climate-change   http://www.nyc.gov/html/sirr/html/report/report.shtml   http://www.huffingtonpost.com/peter-lehner/nycs-climate-plan-shows-n_b_3423338.html   http://ccrun.org/NPCC-2013   http://www.bloomberg.com/news/2013-06-10/bloomberg-to-propose-spending-billions-to-mitigate-storm-risks.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,"John Podesta, Obama's counselor on energy and climate change",10 December 2013,http://edition.cnn.com/2013/12/10/politics/podesta-obama/index.html   http://www.reuters.com/article/2013/12/10/us-usa-obama-aide-idUSBRE9B912Z20131210,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Study: Female named hurricanes caused more deaths,02 June 2014,http://www.businessinsider.com.au/hurricanes-with-female-names-are-more-deadly-than-male-storms-2014-6   http://www.cbsnews.com/news/female-named-hurricanes-cause-more-deaths-in-the-us/,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Obama talks climate change/nuclear in Berlin,20 June 2013,http://www.whitehouse.gov/blog/2013/06/19/president-obama-speaks-people-berlin-brandenburg-gate   http://grist.org/news/obama-in-berlin-we-have-to-get-to-work-on-climate-change/?utm_source=twitter&utm_medium=tweet&utm_campaign=socialflow   http://www.bbc.com/news/world-europe-22962873#TWEET795128,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],this is good news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Cyclone Christine,30 December 2013,http://www.scmp.com/news/asia/article/1393115/australia-hoists-red-alert-powerful-cyclone-threatens-west-coast-areas   http://uk.reuters.com/article/2013/12/30/us-australia-cyclone-idUKBRE9BR04220131230   http://en.wikipedia.org/wiki/Cyclone_Christine,weakly related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Unesco condemns dredge waste dumping in barrier reef waters,01 May 2014,http://www.morningstaronline.co.uk/a-74f9-Unesco-condemns-Great-Barrier-Reef-waste-dump-plan   http://www.brisbanetimes.com.au/environment/great-barrier-reef-facts-tv-ads-ignore-dredge-dumping-risks-20140501-zr2im.html,not related to climate change,borderline (weakly related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],disaster,human-induced hazards  [disaster],this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Drilling states explore human-made earthquakes,12 June 2014,http://www.pennlive.com/midstate/index.ssf/2014/06/is_fracking_causing_earthquake.html   http://finance.yahoo.com/news/drilling-states-explore-human-made-195623182.html,not related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Climate refugee fighting stay New Zealand,01-16 October 2013,http://www.globalpost.com/dispatch/news/thomson-reuters/131016/pacific-man-seeks-climate-change-asylum-new-zealand   http://tcktcktck.org/2013/10/climate-refugee-argues-rising-seas-make-life-kiribati-dangerous/57359   http://www.news24.com/Green/News/Climate-refugee-fighting-to-stay-in-NZ-20131001,related to climate change,yes (related to climate change),individuals,legal actions involving individuals  [individuals],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,California torture case,15 August 2013,http://en.wikipedia.org/wiki/Kidnapping_of_Hannah_Anderson   http://www.thedenverchannel.com/news/warrants-mother-boy-tortured-before-friend-fled-with-girl,not related to climate change,no (not related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Hurricane Iselle (and Julio),07-08 August 2014,http://edition.cnn.com/2014/08/07/us/hawaii-storms/index.html   http://www.usnews.com/news/us/articles/2014/08/07/hawaii-rattled-by-quake-as-hurricanes-near   http://en.wikipedia.org/wiki/Hurricane_Iselle_(2014),not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Earth's CO2 level passes #400ppm for the first time in human history,30 April-11 May 2013,http://abcnews.go.com/Technology/carbon-dioxide-level-unseen-human-history/story?id=19152850#.UY1snR-nYzg.twitter   http://www.huffingtonpost.com/2013/05/10/atmospheric-co2-concentrations_n_3253757.html   http://www.theguardian.com/environment/2013/apr/29/global-carbon-dioxide-levels   http://blog.algore.com/2013/05/400_ppm.html,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,2013 Middle East cold snap,15 December 2013,http://en.wikipedia.org/wiki/2013_Middle_East_cold_snap   https://twitter.com/DCorleone60/status/412167837458104320   https://twitter.com/Chellaney/status/412155953878806528,not related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Obama's campaign: Support cutting carbon pollution,30 September 2014,https://twitter.com/barackobama/status/517043802159083520   https://www.barackobama.com/fight-climate-change/?awesm=ofa.bo_p17F&utm_source=tw&utm_campaign=CC&utm_medium=socnet&source=socnet_tw_CC_20140929_bo_fight-climate-change_addyourname_1&utm_content=20140929_bo_fight-climate-change_addyourname_1,not related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,California Offshore Fracking investigation,15 August 2013,http://www.huffingtonpost.com/2013/08/15/offshore-fracking-california_n_3759655.html   http://www.globalpost.com/dispatch/news/the-canadian-press/130815/calif-coastal-panel-takes-offshore-fracking-after-documents-,not related to climate change,borderline (weakly related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
News,Wetlands-Water Reuse story,03 August 2014,http://www.nytimes.com/aponline/2014/08/03/us/ap-us-wetlands-water-reuse.html   http://cnsnews.com/news/article/correction-wetlands-water-reuse-story   http://www.trwd.com/AboutUs,weakly related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Buckwild' Star Shain Gandee's Autopsy Cites Carbon Monoxide Poisoning,02 April 2013,http://abcnews.go.com/Entertainment/buckwild-star-shain-gandees-autopsy-cites-carbon-monoxide/story?id=18862144   http://articles.chicagotribune.com/2013-04-01/entertainment/sns-rt-us-buckwildbre9300g9-20130401_1_buckwild-mtv-west-virginia,related to climate change,no (not related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Carbon graphite manufacturer campaign,11 March 2014,https://twitter.com/CalvinSitt/status/444378099145125888,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Statement on global warming consensus,08 September 2014,https://twitter.com/skepticscience/status/509099129486577665/photo/1,related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,"""Turn Down the Heat: Climate Extremes, Regional Impacts, and the Case for Resilience"" Report",19 June 2013,http://www.reuters.com/article/2013/06/19/us-worldbank-climate-idUSBRE95I09720130619   http://documents.worldbank.org/curated/en/2013/06/17861350/turn-down-heat-climate-extremes-regional-impacts-case-resilience-executive-summary   http://www.huffingtonpost.com/2013/06/19/climate-change-poverty-link_n_3463748.html?utm_hp_ref=green,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,EPA ridiculed for losing emails,25 June 2014,http://news.yahoo.com/epa-says-cant-records-alaska-mine-205640256--politics.html?utm_medium=twitter&utm_source=twitterfeed   http://thehill.com/policy/energy-environment/210564-epa-says-hard-drive-crashed-emails-lost,weakly related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Australia Carbon Tax Repealed,10-17 July 2014,http://www.theguardian.com/environment/2014/jul/17/australia-kills-off-carbon-tax   http://www.reuters.com/article/2014/07/17/us-australia-carbon-vote-idUSKBN0FM04J20140717?feedType=RSS&feedName=environmentNews,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Australia carbon tax debate,15-19 July 2013,http://www.abc.net.au/news/2013-07-15/abbott-dismisses-ets-as-market-in-an-invisible-substance/4820564   http://www.nytimes.com/2013/07/17/world/asia/australian-leader-scraps-tax-on-carbon-emissions.html?partner=rss&emc=rss&_r=0,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
Twitter,BMW ad,18 February 2014,https://twitter.com/JorgeDavila12/status/437783135443369984,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Quite Hurricane Season for US,10 April 2014,http://edition.cnn.com/2014/04/10/us/hurricane-predictions/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_latest+%28RSS%3A+Most+Recent%29   http://www.reuters.com/article/2014/04/10/us-usa-weather-hurricanes-idUSBREA391SW20140410,not related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Gaza under attack,04 August 2014,https://twitter.com/Farah_Gazan/status/496084598166933504,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Obama's viral tweet on fundraising campaign for OFA,29 December 2013,https://contribute.barackobama.com/donation/orgforaction/12/december-deadline.html?source=socnet_tw_GRF_20131229_bo_december-deadline_climate_1&utm_medium=socnet&utm_source=tw&utm_campaign=tw_GRF&utm_content=20131229_bo_december-deadline_climate_1   https://twitter.com/BarackObama/status/417348492546162688,not related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,California logging plan,28 August 2014,http://www.foxnews.com/us/2014/08/27/feds-allows-logging-after-huge-california-wildfire/   http://news.yahoo.com/california-environmentalists-decry-feds-fire-165638802.html,not related to climate change,borderline (weakly related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Obama Announces Commitments and Executive Actions to Advance Solar Deployment and Energy Efficiency,09 May 2014,http://www.huffingtonpost.com/2014/05/09/white-house-solar_n_5292869.html   http://www.whitehouse.gov/the-press-office/2014/05/09/fact-sheet-president-obama-announces-commitments-and-executive-actions-a,not related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Clean Power Plan Proposed Rule (Obama/EPA),02-06 June 2014,http://www2.epa.gov/carbon-pollution-standards/clean-power-plan-proposed-rule   https://twitter.com/MattBomer/status/473651345216786432   http://www.latimes.com/nation/la-na-obama-climate-plan-20140602-story.html,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is high,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,#DitchtheRule Campaign,26 September 2014,http://ditchtherule.fb.org,not related to climate change,no (not related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Cold Arctic summer leads to record increase in ice cap,08-11 September 2013,http://www.telegraph.co.uk/news/earth/environment/climatechange/10294082/Global-warming-No-actually-were-cooling-claim-scientists.html   http://www.dailymail.co.uk/news/article-2415191/And-global-COOLING-Return-Arctic-ice-cap-grows-29-year.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],media,publication/studies/research  [media],this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Climate change 'doubles turbulence',09 April 2013,http://www.thehindu.com/sci-tech/energy-and-environment/climate-change-will-lead-to-bumpier-flights/article4595633.ece?utm_source=twitterfeed&utm_medium=twitter   http://www.theguardian.com/environment/2013/apr/08/climate-change-air-turbulence,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Regional Hubs for Risk Adaptation and Mitigation to Climate Change,06 February 2014,http://pjmedia.com/blog/new-usda-climate-hubs-to-school-farmers-ranchers-on-climate-change/   http://www.usda.gov/oce/climate_change/hubs/USDAHubsFactsheet.pdf,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Victoria Bushfire,09-11 February 2014,http://www.abc.net.au/news/2014-02-10/bushfires-destroy-homes-in-victoria-your-say/5248962   http://www.forbesadvocate.com.au/story/2075860/fires-burn-across-sa-photos-video/?cs=2452,not related to climate change,no (not related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Climate Action: Awarness campaign/rallies in Australia,17 November 2013,https://www.facebook.com/photo.php?fbid=10151685494471455&set=a.401481301454.178964.13527056454&type=1   http://www.abc.net.au/news/2013-11-17/thousands-rally-across-australia-for-national-day-climate-action/5097536   https://twitter.com/AaronPackard/status/401904547678789633/photo/1,related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,UN Climate Summit 2014,23 September 2014,http://en.wikipedia.org/wiki/Climate_Summit   http://www.reuters.com/article/2014/09/23/us-un-climatechange-idUSKCN0HI0UK20140923   http://www.euronews.com/2014/09/23/ban-ki-moon-calls-for-bold-pledges-at-un-climate-change-summit/,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Just 90 companies caused two-thirds of man-made global warming emissions,21 November 2013,http://www.theguardian.com/environment/interactive/2013/nov/20/which-fossil-fuel-companies-responsible-climate-change-interactive?CMP=twt_gu   http://www.theguardian.com/environment/2013/nov/20/90-companies-man-made-global-warming-emissions-climate-change,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,US India partner on climate resilience,30 September 2014,http://in.reuters.com/article/2014/09/30/usa-india-whitehouse-idINKCN0HP20W20140930   http://www.whitehouse.gov/the-press-office/2014/09/30/us-india-joint-statement   http://www.state.gov/r/pa/prs/ps/2014/09/232328.htm,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Arctic sea ice reached it's minimum extent on 9/13,20 September 2013,http://www.huffingtonpost.com/2013/09/20/arctic-sea-ice_n_3957165.html?utm_hp_ref=tw   http://www.washingtonpost.com/blogs/wonkblog/wp/2013/09/19/sorry-arctic-sea-ice-isnt-really-recovering/   http://instagram.com/p/efykKOIaCh/,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
